ruca,great_circle_distance,origin,destination
Rural,15.509240411789758,"31.905616,-94.42602","31.802233,-94.19145"
Rural,76.68724567734917,"45.76936,-101.08086","46.858098,-100.768499"
Rural,76.04205492112335,"37.071835,-95.347225","36.032886,-95.799236"
Rural,12.713539252473502,"43.92731,-69.25282","44.091646,-69.137732"
Rural,35.68980140857811,"37.96893,-92.59212","37.640175,-93.096383"
Rural,81.82875628473472,"33.004137,-110.785316","33.639135,-111.981718"
Rural,67.61599601131802,"37.845963,-88.240226","38.727662,-87.699243"
Rural,84.88749638291642,"44.662952,-84.089518","43.43509,-84.030672"
Rural,54.16806652009217,"34.22676,-98.11004","34.173717,-97.164314"
Rural,59.42528621183593,"45.09052,-97.6437","44.333032,-98.216923"
Rural,83.07665788007182,"41.028942,-94.746591","42.036544,-93.870094"
Rural,52.15414700229964,"37.114844,-107.659745","37.346674,-108.561971"
Rural,47.799436657118854,"35.74803,-87.357729","36.244525,-86.762264"
Rural,88.8771686340211,"36.354403,-84.449208","37.614673,-84.771747"
Rural,79.45342254606162,"35.8257,-110.50065","35.174818,-111.66514"
Rural,40.95372302617364,"41.00145,-78.96309","41.324204,-79.623459"
Rural,16.29778515527755,"37.159677,-82.358274","37.277903,-82.101957"
Rural,60.068777323822395,"46.75384,-89.58404","45.889657,-89.721551"
Rural,67.67852850991116,"40.059726,-97.335594","40.6242,-98.385897"
Rural,32.16219435950916,"43.664334,-92.682753","43.664086,-93.326229"
Rural,66.53792093864894,"43.67024,-92.08322","43.018119,-91.108812"
Rural,67.13459705615563,"39.39753,-92.98992","38.431797,-92.852315"
Rural,35.84367758118909,"42.766519,-72.745723","42.74279,-72.039945"
Rural,88.52564564309883,"36.133845,-105.571165","35.109534,-106.518032"
Rural,73.86562738999476,"31.165947,-96.675985","31.736425,-95.616128"
Rural,21.867615655569143,"41.919428,-121.973887","42.192994,-121.759535"
Rural,77.20314477259987,"37.341823,-98.963403","38.070038,-97.892188"
Rural,87.4323640016037,"42.144355,-84.848182","41.034627,-84.035068"
