zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
67353,Rural,Moline,Kansas,457,Elk,"$43,750",37.357438,-96.373849
67354,Suburban,Mound Valley,Kansas,641,Labette,"$52,344",37.215113,-95.422081
67355,Rural,Niotaze,Kansas,208,Chautauqua,"$64,375",37.037043,-96.012058
67356,Rural,Oswego,Kansas,"2,896",Labette,"$51,053",37.16757,-95.10996
67357,Urban,Parsons,Kansas,"12,046",Labette,"$51,152",37.34034,-95.26108
67360,Rural,Peru,Kansas,431,Chautauqua,"$47,321",37.048401,-96.07768
67361,Rural,Sedan,Kansas,"1,601",Chautauqua,"$43,452",37.134351,-96.219212
67363,Suburban,Sycamore,Kansas,149,Montgomery,"$126,500",37.328119,-95.71697
67364,Suburban,Tyro,Kansas,193,Montgomery,,37.036984,-95.823721
67401,Urban,Salina,Kansas,"50,827",Saline,"$54,387",38.823673,-97.642113
67410,Suburban,Abilene,Kansas,"10,570",Dickinson,"$58,750",38.9111,-97.195283
67416,Suburban,Assaria,Kansas,888,Saline,"$69,375",38.688891,-97.59426
67417,Rural,Aurora,Kansas,130,Cloud,"$73,500",39.45212,-97.529562
67418,Rural,Barnard,Kansas,151,Lincoln,"$52,857",39.188663,-98.044605
67420,Suburban,Beloit,Kansas,"3,993",Mitchell,"$49,911",39.441631,-98.119189
67422,Suburban,Bennington,Kansas,"1,221",Ottawa,"$79,954",39.019928,-97.622108
67423,Rural,Beverly,Kansas,283,Lincoln,"$47,292",39.01278,-97.9756
67425,Suburban,Brookville,Kansas,669,Saline,"$69,875",38.783921,-97.854579
67427,Rural,Bushton,Kansas,387,Rice,"$31,838",38.463875,-98.387168
67428,Suburban,Canton,Kansas,"1,360",McPherson,"$65,000",38.392631,-97.426953
67430,Suburban,Cawker City,Kansas,584,Jewell,"$43,906",39.51251,-98.43367
67431,Suburban,Chapman,Kansas,"1,824",Dickinson,"$61,016",38.972672,-97.018914
67432,Suburban,Clay Center,Kansas,"5,496",Clay,"$52,679",39.349452,-97.164849
67436,Rural,Delphos,Kansas,528,Ottawa,"$51,800",39.263098,-97.714625
67437,Rural,Downs,Kansas,826,Osborne,"$61,250",39.449456,-98.581432
67438,Rural,Durham,Kansas,238,Marion,"$43,533",38.523968,-97.251974
67439,Suburban,Ellsworth,Kansas,"3,346",Ellsworth,"$55,655",38.696579,-98.205437
67441,Suburban,Enterprise,Kansas,987,Dickinson,"$53,906",38.889721,-97.09319
