zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size,latitude,longitude
72376,Urban,Proctor,Arkansas,"1,454",Crittenden,"$41,111",103,0.003062468409003,1,35.116116,-90.238064
96054,Rural,Lookout,California,237,Modoc,"$56,875",237,0.007046650611007,3,41.234693,-121.215582
95511,Rural,Alderpoint,California,102,Humboldt,"$2,499",237,0.007046650611007,3,40.13049,-123.602161
95246,Rural,Mountain Ranch,California,"1,305",Calaveras,"$71,094",237,0.007046650611007,3,38.25085,-120.51189
93648,Suburban,Parlier,California,"15,507",Fresno,"$44,632",424,0.0126066660720126,5,36.61162,-119.52707
92630,Suburban,Lake Forest,California,"66,621",Orange,"$108,963",424,0.0126066660720126,5,33.64079,-117.693074
93428,Suburban,Cambria,California,"5,721",San Luis Obispo,"$87,961",424,0.0126066660720126,5,35.587748,-120.954454
95987,Suburban,Williams,California,"6,370",Colusa,"$77,545",424,0.0126066660720126,5,39.142737,-122.243739
93563,Suburban,Valyermo,California,247,Los Angeles,"$210,600",424,0.0126066660720126,5,34.44611,-117.85229
91978,Urban,Spring Valley,California,"10,979",San Diego,"$82,885",1141,0.0339250141230339,13,32.733452,-116.957898
93215,Urban,Delano,California,"55,487",Kern,"$47,586",1141,0.0339250141230339,13,35.779507,-119.200825
