origin,destination,distance_in_time
"37.964123,-121.128903","37.322401,-121.973234",1 hour 39 mins
"37.964123,-121.128903","32.805378,-117.116368",7 hour 22 mins
"37.964123,-121.128903","38.048958,-121.37384",28 mins
"37.964123,-121.128903","35.208437,-118.828899",4 hour 1 mins
"37.964123,-121.128903","38.888596,-121.292601",1 hour 24 mins
"37.964123,-121.128903","33.819474,-117.908042",5 hour 55 mins
"37.964123,-121.128903","37.947523,-122.384032",1 hour 42 mins
"37.964123,-121.128903","33.913168,-117.865456",5 hour 57 mins
"37.964123,-121.128903","32.631371,-116.96773",7 hour 31 mins
"37.964123,-121.128903","38.498775,-121.433766",52 mins
"37.964123,-121.128903","34.050338,-118.084287",5 hour 36 mins
"37.964123,-121.128903","34.073689,-117.88609",5 hour 46 mins
"37.964123,-121.128903","33.129612,-117.062391",7 hour 7 mins
"37.964123,-121.128903","33.737428,-117.915362",6 hour 3 mins
"37.964123,-121.128903","38.595884,-121.291214",1 hour 7 mins
"38.621802,-121.514016","37.322401,-121.973234",2 hour 3 mins
"38.621802,-121.514016","32.805378,-117.116368",7 hour 45 mins
"38.621802,-121.514016","38.048958,-121.37384",43 mins
"38.621802,-121.514016","35.208437,-118.828899",4 hour 40 mins
"38.621802,-121.514016","38.888596,-121.292601",34 mins
"38.621802,-121.514016","33.819474,-117.908042",6 hour 26 mins
"38.621802,-121.514016","37.947523,-122.384032",1 hour 21 mins
"38.621802,-121.514016","33.913168,-117.865456",6 hour 28 mins
"38.621802,-121.514016","32.631371,-116.96773",8 hour 3 mins
"38.621802,-121.514016","38.498775,-121.433766",19 mins
"38.621802,-121.514016","34.050338,-118.084287",6 hour 7 mins
"38.621802,-121.514016","34.073689,-117.88609",6 hour 17 mins
"38.621802,-121.514016","33.129612,-117.062391",7 hour 38 mins
"38.621802,-121.514016","33.737428,-117.915362",6 hour 34 mins
"38.621802,-121.514016","38.595884,-121.291214",24 mins
"32.843956,-116.994511","37.322401,-121.973234",7 hour 34 mins
"32.843956,-116.994511","32.805378,-117.116368",17 mins
"32.843956,-116.994511","38.048958,-121.37384",7 hour 30 mins
"32.843956,-116.994511","35.208437,-118.828899",3 hour 59 mins
"32.843956,-116.994511","38.888596,-121.292601",8 hour 29 mins
"32.843956,-116.994511","33.819474,-117.908042",1 hour 53 mins
"32.843956,-116.994511","37.947523,-122.384032",8 hour 8 mins
